,Unnamed: 0,all_titles,all_years,all_scores,all_meta,all_votes,all_gross,all_genres,id
2953,2953,Run All Night,(2015),6.6,59        ,95720,"26,442,251","
Action, Drama, Thriller            ",tt2199571
2954,2954,Book of Shadows: Blair Witch 2,(2000),3.9,15        ,34343,"26,437,094","
Adventure, Fantasy, Horror            ",tt0229260
2955,2955,Street Kings,(2008),6.8,55        ,103856,"26,415,649","
Action, Crime, Drama            ",tt0421073
2956,2956,One for the Money,(2012),5.3,22        ,38900,"26,414,527","
Action, Comedy, Crime            ",tt1598828
2957,2957,Boogie Nights,(1997),7.9,85        ,223810,"26,400,640","
Drama            ",tt0118749
2958,2958,House Party,(1990),6.4,76        ,12158,"26,386,000","
Comedy, Music, Romance            ",tt0099800
2959,2959,Ben-Hur,(2016),5.7,38        ,38847,"26,384,681","
Action, Adventure, Drama            ",tt2638144
2960,2960,I.Q.,(1994),6.2,66        ,22492,"26,372,663","
Comedy, Romance            ",tt0110099
2961,2961,Great Expectations,(1998),6.9,55        ,48953,"26,333,044","
Drama, Romance            ",tt0119223
2962,2962,Houseguest,(1995),6.0,no,6193,"26,325,256","
Comedy            ",tt0110066
2963,2963,A Walk Among the Tombstones,(2014),6.5,57        ,106897,"26,307,600","
Action, Crime, Drama            ",tt0365907
2964,2964,Protocol,(1984),5.5,no,4284,"26,300,000","
Comedy            ",tt0087951
2965,2965,Sayonara,(1957),7.1,no,5529,"26,300,000","
Drama, Romance            ",tt0050933
2966,2966,Wildcats,(1986),6.0,no,11250,"26,285,544","
Comedy, Sport            ",tt0092214
2967,2967,Christmas with the Coopers,(2015),5.8,31        ,18342,"26,284,475","
Comedy, Fantasy, Romance            ",tt2279339
2968,2968,Private Lessons,(1981),5.2,34        ,3048,"26,279,000","
Comedy            ",tt0082948
2969,2969,Dumb and Dumberer: When Harry Met Lloyd,(2003),3.4,19        ,35497,"26,276,465","
Comedy            ",tt0329028
2970,2970,Necessary Roughness,(1991),6.2,45        ,9696,"26,255,594","
Comedy, Sport            ",tt0102517
2971,2971,Overcomer,(2019),6.7,17        ,1495,"26,252,768","
Drama, Sport            ",tt8186318
2972,2972,The Wrestler,(2008),7.9,81        ,280017,"26,236,603","
Drama, Sport            ",tt1125849
2973,2973,Micki + Maude,(1984),6.0,no,2537,"26,200,000","
Comedy, Romance            ",tt0087718
2974,2974,Blood Work,(2002),6.4,64        ,40001,"26,199,517","
Action, Crime, Drama            ",tt0309377
2975,2975,A Man Apart,(2003),6.1,36        ,42873,"26,183,197","
Action, Crime, Drama            ",tt0266465
2976,2976,Ramona and Beezus,(2010),6.5,56        ,16365,"26,161,406","
Comedy, Family, Fantasy            ",tt0493949
2977,2977,Modern Problems,(1981),5.1,27        ,4612,"26,154,211","
Comedy, Fantasy, Sci-Fi            ",tt0082763
2978,2978,Jacob's Ladder,(I) (1990),7.5,62        ,92663,"26,118,851","
Drama, Horror, Mystery            ",tt0099871
2979,2979,The Exorcist III,(1990),6.4,48        ,23005,"26,098,824","
Drama, Horror, Mystery            ",tt0099528
2980,2980,North Dallas Forty,(1979),7.0,80        ,4384,"26,079,312","
Comedy, Drama, Sport            ",tt0079640
2981,2981,That Awkward Moment,(2014),6.1,36        ,93630,"26,049,082","
Comedy, Romance            ",tt1800246
2982,2982,The Descent,(2005),7.2,71        ,188651,"26,024,456","
Adventure, Horror, Thriller            ",tt0435625
2983,2983,Searching,(III) (2018),7.7,71        ,112935,"26,020,957","
Drama, Mystery, Thriller            ",tt7668870
2984,2984,The World's End,(2013),7.0,81        ,242498,"26,004,851","
Action, Comedy, Sci-Fi            ",tt1213663
2985,2985,The Adventures of Rocky & Bullwinkle,(2000),4.1,36        ,18581,"26,000,610","
Animation, Adventure, Comedy            ",tt0131704
2986,2986,Demetrius and the Gladiators,(1954),6.6,no,3132,"26,000,000","
Action, Drama, History            ",tt0046899
2987,2987,Howard's End,(1992),7.4,89        ,26497,"25,967,000","
Drama, Romance            ",tt0104454
2988,2988,Magic,(1978),6.8,no,8261,"25,942,000","
Drama, Horror            ",tt0077889
2989,2989,Freaky Friday,(1976),6.3,51        ,10843,"25,942,000","
Comedy, Family, Fantasy            ",tt0076054
2990,2990,The Cotton Club,(1984),6.5,68        ,15241,"25,928,721","
Crime, Drama, Music            ",tt0087089
2991,2991,Shutter,(I) (2008),5.2,37        ,31123,"25,926,543","
Horror, Mystery, Thriller            ",tt0482599
2992,2992,The Nanny Diaries,(2007),6.2,46        ,54174,"25,925,170","
Comedy, Drama, Romance            ",tt0489237
2993,2993,Leap Year,(2010),6.5,33        ,88092,"25,918,920","
Comedy, Romance            ",tt1216492
2994,2994,"Yours, Mine and Ours",(1968),7.2,no,7236,"25,912,624","
Comedy, Family            ",tt0063829
2995,2995,The Hard Way,(1991),6.4,no,17275,"25,895,485","
Action, Comedy, Crime            ",tt0102004
2996,2996,Innerspace,(1987),6.8,66        ,50883,"25,893,810","
Action, Adventure, Comedy            ",tt0093260
2997,2997,Cactus Flower,(1969),7.2,67        ,8640,"25,889,208","
Comedy, Romance            ",tt0064117
2998,2998,Alex Cross,(2012),5.1,30        ,31232,"25,888,412","
Action, Crime, Mystery            ",tt1712170
2999,2999,Frida,(2002),7.4,61        ,75957,"25,885,000","
Biography, Drama, Romance            ",tt0120679
3000,3000,Æon Flux,(2005),5.4,36        ,120297,"25,857,987","
Action, Adventure, Crime            ",tt0402022
3001,3001,Shadowlands,(1993),7.3,no,15982,"25,842,000","
Biography, Drama, Romance            ",tt0108101
3002,3002,Murder at 1600,(1997),6.1,47        ,27074,"25,826,788","
Action, Crime, Drama            ",tt0119731
3003,3003,Betrayed,(1988),6.3,no,5128,"25,816,139","
Crime, Drama, Thriller            ",tt0094731
3004,3004,That Thing You Do!,(1996),6.9,71        ,57828,"25,809,813","
Comedy, Drama, Music            ",tt0117887
3005,3005,The Lazarus Effect,(2015),5.2,31        ,38701,"25,799,043","
Horror, Mystery, Sci-Fi            ",tt2918436
3006,3006,Candyman,(1992),6.6,no,61677,"25,792,310","
Horror, Thriller            ",tt0103919
3007,3007,Down Periscope,(1996),6.1,39        ,19913,"25,785,603","
Comedy            ",tt0116130
3008,3008,Only When I Laugh,(1981),6.4,no,1132,"25,782,304","
Comedy, Drama            ",tt0082853
3009,3009,The Last Dragon,(1985),6.9,no,12070,"25,754,284","
Action, Comedy, Drama            ",tt0089461
3010,3010,From Dusk Till Dawn,(1996),7.2,48        ,269290,"25,753,840","
Action, Crime, Horror            ",tt0116367
3011,3011,You Again,(2010),5.8,28        ,47312,"25,702,053","
Comedy, Romance            ",tt1414382
3012,3012,21 & Over,(2013),5.8,34        ,69569,"25,682,380","
Comedy            ",tt1711425
3013,3013,Other People's Money,(1991),6.2,no,7488,"25,682,090","
Comedy, Drama, Romance            ",tt0102609
3014,3014,Crocodile Dundee in Los Angeles,(2001),4.8,37        ,22546,"25,635,682","
Adventure, Comedy, Crime            ",tt0231402
3015,3015,Mr. Woodcock,(2007),5.1,41        ,34120,"25,628,629","
Comedy, Romance, Sport            ",tt0419984
3016,3016,Agnes of God,(1985),6.6,no,6429,"25,627,836","
Drama, Mystery            ",tt0088683
3017,3017,Desperado,(1995),7.2,55        ,162960,"25,625,110","
Action, Thriller            ",tt0112851
3018,3018,Dance Flick,(2009),3.5,40        ,11266,"25,615,792","
Action, Comedy, Music            ",tt1153706
